Final stack for 200
height of 6293
53 199 191 {53}
158 198 179 {211}
180 194 164 {391}
181 190 159 {572}
84 188 152 {656}
192 184 150 {848}
144 182 146 {992}
187 175 144 {1179}
159 170 143 {1338}
198 166 142 {1536}
47 162 141 {1583}
164 159 124 {1747}
106 150 113 {1853}
183 146 110 {2036}
85 142 106 {2121}
114 141 96 {2235}
173 138 93 {2408}
194 131 91 {2602}
113 126 90 {2715}
187 125 80 {2902}
191 123 78 {3093}
92 118 68 {3185}
167 112 66 {3352}
195 111 60 {3547}
121 105 59 {3668}
70 98 58 {3738}
136 97 57 {3874}
60 95 55 {3934}
183 85 54 {4117}
196 82 53 {4313}
171 78 52 {4484}
135 61 51 {4619}
166 57 49 {4785}
200 49 48 {4985}
130 46 41 {5115}
21 45 39 {5136}
81 44 35 {5217}
129 33 33 {5346}
169 31 27 {5515}
160 26 24 {5675}
136 24 19 {5811}
124 23 9 {5935}
54 17 7 {5989}
195 10 4 {6184}
109 6 1 {6293}

Final stack for 100
height of 2049
31 100 94 {31}
68 99 90 {99}
36 98 87 {135}
64 97 86 {199}
44 94 85 {243}
78 89 84 {321}
36 88 83 {357}
25 87 80 {382}
83 86 68 {465}
53 84 58 {518}
85 83 54 {603}
96 82 53 {699}
90 81 48 {789}
87 75 44 {876}
59 70 43 {935}
34 69 42 {969}
56 67 40 {1025}
99 63 37 {1124}
97 57 36 {1221}
72 55 32 {1293}
72 53 29 {1365}
81 52 20 {1446}
69 48 12 {1515}
84 42 11 {1599}
98 39 9 {1697}
95 28 8 {1792}
79 25 6 {1871}
83 16 5 {1954}
95 10 4 {2049}

Final stack for 50
height of 610
12 50 50 {12}
33 49 43 {45}
36 48 37 {81}
14 47 36 {95}
44 44 35 {139}
19 42 34 {158}
36 38 33 {194}
25 37 30 {219}
39 34 28 {258}
37 30 24 {295}
41 28 23 {336}
34 27 19 {370}
6 25 18 {376}
38 23 16 {414}
17 18 15 {431}
48 17 14 {479}
31 13 12 {510}
26 11 8 {536}
22 9 7 {558}
24 7 4 {582}
28 3 3 {610}

Final stack for 20
height of 122
9 20 17 {9}
17 17 16 {26}
15 12 12 {41}
12 11 9 {53}
9 10 8 {62}
4 9 7 {66}
15 8 6 {81}
20 7 5 {101}
10 6 3 {111}
11 4 2 {122}
